Postcode,State
3927,2: Victoria
3928,2: Victoria
3929,2: Victoria
3930,2: Victoria
3931,2: Victoria
3933,2: Victoria
3934,2: Victoria
3936,2: Victoria
3937,2: Victoria
3938,2: Victoria
3939,2: Victoria
3940,2: Victoria
3941,2: Victoria
3942,2: Victoria
3943,2: Victoria
3944,2: Victoria
3945,2: Victoria
3946,2: Victoria
3950,2: Victoria
3951,2: Victoria
3953,2: Victoria
3954,2: Victoria
3956,2: Victoria
3957,2: Victoria
3958,2: Victoria
3959,2: Victoria
3960,2: Victoria
3962,2: Victoria
3964,2: Victoria
3965,2: Victoria
3966,2: Victoria
3967,2: Victoria
3971,2: Victoria
3975,2: Victoria
3976,2: Victoria
3977,2: Victoria
3978,2: Victoria
3979,2: Victoria
3980,2: Victoria
3981,2: Victoria
3984,2: Victoria
3987,2: Victoria
3988,2: Victoria
3990,2: Victoria
3991,2: Victoria
3992,2: Victoria
3995,2: Victoria
3996,2: Victoria
4000,3: Queensland
4005,3: Queensland
4006,3: Queensland
4007,3: Queensland
4008,3: Queensland
4009,3: Queensland
4010,3: Queensland
4011,3: Queensland
4012,3: Queensland
4013,3: Queensland
4014,3: Queensland
4017,3: Queensland
4018,3: Queensland
4019,3: Queensland
4020,3: Queensland
4021,3: Queensland
4022,3: Queensland
4025,3: Queensland
4030,3: Queensland
4031,3: Queensland
4032,3: Queensland
4034,3: Queensland
4035,3: Queensland
4036,3: Queensland
4037,3: Queensland
4051,3: Queensland
4053,3: Queensland
4054,3: Queensland
4055,3: Queensland
4059,3: Queensland
4060,3: Queensland
4061,3: Queensland
4064,3: Queensland
4065,3: Queensland
4066,3: Queensland
4067,3: Queensland
4068,3: Queensland
4069,3: Queensland
4070,3: Queensland
4073,3: Queensland
4074,3: Queensland
4075,3: Queensland
4076,3: Queensland
4077,3: Queensland
4078,3: Queensland
4101,3: Queensland
4102,3: Queensland
4103,3: Queensland
4104,3: Queensland
4105,3: Queensland
4106,3: Queensland
4107,3: Queensland
4108,3: Queensland
4109,3: Queensland
4110,3: Queensland
4111,3: Queensland
4112,3: Queensland
4113,3: Queensland
4114,3: Queensland
4115,3: Queensland
4116,3: Queensland
4117,3: Queensland
4118,3: Queensland
4119,3: Queensland
4120,3: Queensland
4121,3: Queensland
4122,3: Queensland
4123,3: Queensland
4124,3: Queensland
4125,3: Queensland
4127,3: Queensland
4128,3: Queensland
4129,3: Queensland
4130,3: Queensland
4131,3: Queensland
4132,3: Queensland
4133,3: Queensland
4151,3: Queensland
4152,3: Queensland
4153,3: Queensland
4154,3: Queensland
4155,3: Queensland
4156,3: Queensland
4157,3: Queensland
4158,3: Queensland
4159,3: Queensland
4160,3: Queensland
4161,3: Queensland
4163,3: Queensland
4164,3: Queensland
4165,3: Queensland
4169,3: Queensland
4170,3: Queensland
4171,3: Queensland
4172,3: Queensland
4173,3: Queensland
4174,3: Queensland
4178,3: Queensland
4179,3: Queensland
4183,3: Queensland
4184,3: Queensland
4205,3: Queensland
4207,3: Queensland
4208,3: Queensland
4209,3: Queensland
4210,3: Queensland
4211,3: Queensland
4212,3: Queensland
4213,3: Queensland
4214,3: Queensland
4215,3: Queensland
4216,3: Queensland
4217,3: Queensland
4218,3: Queensland
4220,3: Queensland
4221,3: Queensland
4223,3: Queensland
4224,3: Queensland
4225,3: Queensland
4226,3: Queensland
4227,3: Queensland
4228,3: Queensland
4270,3: Queensland
4272,3: Queensland
4275,3: Queensland
4280,3: Queensland
4285,3: Queensland
4287,3: Queensland
4300,3: Queensland
4301,3: Queensland
4303,3: Queensland
4304,3: Queensland
4305,3: Queensland
4306,3: Queensland
4307,3: Queensland
4309,3: Queensland
4310,3: Queensland
4311,3: Queensland
4312,3: Queensland
4313,3: Queensland
4314,3: Queensland
4340,3: Queensland
4341,3: Queensland
4342,3: Queensland
4343,3: Queensland
4344,3: Queensland
4346,3: Queensland
4347,3: Queensland
4350,3: Queensland
4352,3: Queensland
4353,3: Queensland
4354,3: Queensland
4355,3: Queensland
4356,3: Queensland
4357,3: Queensland
4358,3: Queensland
4359,3: Queensland
4360,3: Queensland
4361,3: Queensland
4362,3: Queensland
4363,3: Queensland
4364,3: Queensland
4365,3: Queensland
4370,3: Queensland
4371,3: Queensland
4372,3: Queensland
4373,3: Queensland
4374,3: Queensland
4375,3: Queensland
4376,3: Queensland
4377,3: Queensland
4378,3: Queensland
4380,3: Queensland
4381,3: Queensland
4382,3: Queensland
4383,3: Queensland
4384,3: Queensland
4385,3: Queensland
4387,3: Queensland
4388,3: Queensland
4390,3: Queensland
4400,3: Queensland
4401,3: Queensland
4402,3: Queensland
4403,3: Queensland
4404,3: Queensland
4405,3: Queensland
4406,3: Queensland
4407,3: Queensland
4408,3: Queensland
4410,3: Queensland
4411,3: Queensland
4412,3: Queensland
4413,3: Queensland
4415,3: Queensland
4416,3: Queensland
4417,3: Queensland
4418,3: Queensland
4419,3: Queensland
4420,3: Queensland
4421,3: Queensland
4422,3: Queensland
4423,3: Queensland
4424,3: Queensland
4425,3: Queensland
4426,3: Queensland
4427,3: Queensland
4428,3: Queensland
4454,3: Queensland
4455,3: Queensland
4461,3: Queensland
4462,3: Queensland
4465,3: Queensland
4467,3: Queensland
4468,3: Queensland
4470,3: Queensland
4472,3: Queensland
4474,3: Queensland
4477,3: Queensland
4478,3: Queensland
4479,3: Queensland
4480,3: Queensland
4481,3: Queensland
4482,3: Queensland
4486,3: Queensland
4487,3: Queensland
4488,3: Queensland
4489,3: Queensland
4490,3: Queensland
4491,3: Queensland
4492,3: Queensland
4493,3: Queensland
4494,3: Queensland
4496,3: Queensland
4497,3: Queensland
4498,3: Queensland
4500,3: Queensland
4501,3: Queensland
4502,3: Queensland
4503,3: Queensland
4504,3: Queensland
4505,3: Queensland
4506,3: Queensland
4507,3: Queensland
4508,3: Queensland
4509,3: Queensland
4510,3: Queensland
4511,3: Queensland
4512,3: Queensland
4514,3: Queensland
4515,3: Queensland
4516,3: Queensland
4517,3: Queensland
4518,3: Queensland
4519,3: Queensland
4520,3: Queensland
4521,3: Queensland
4550,3: Queensland
4551,3: Queensland
4552,3: Queensland
4553,3: Queensland
4554,3: Queensland
4555,3: Queensland
4556,3: Queensland
4557,3: Queensland
4558,3: Queensland
4559,3: Queensland
4560,3: Queensland
4561,3: Queensland
4562,3: Queensland
4563,3: Queensland
4564,3: Queensland
4565,3: Queensland
4566,3: Queensland
4567,3: Queensland
4568,3: Queensland
4569,3: Queensland
4570,3: Queensland
4571,3: Queensland
4572,3: Queensland
4573,3: Queensland
4574,3: Queensland
4575,3: Queensland
4580,3: Queensland
4581,3: Queensland
4600,3: Queensland
4601,3: Queensland
4605,3: Queensland
4606,3: Queensland
4608,3: Queensland
4610,3: Queensland
4611,3: Queensland
4612,3: Queensland
4613,3: Queensland
4614,3: Queensland
4615,3: Queensland
4620,3: Queensland
4621,3: Queensland
4625,3: Queensland
4626,3: Queensland
4627,3: Queensland
4630,3: Queensland
4650,3: Queensland
4655,3: Queensland
4659,3: Queensland
4660,3: Queensland
4662,3: Queensland
4670,3: Queensland
4671,3: Queensland
4673,3: Queensland
4674,3: Queensland
4676,3: Queensland
4677,3: Queensland
4678,3: Queensland
4680,3: Queensland
4694,3: Queensland
4695,3: Queensland
4697,3: Queensland
4699,3: Queensland
4700,3: Queensland
4701,3: Queensland
4702,3: Queensland
4703,3: Queensland
4704,3: Queensland
4705,3: Queensland
4706,3: Queensland
4707,3: Queensland
4709,3: Queensland
4710,3: Queensland
4711,3: Queensland
4712,3: Queensland
4713,3: Queensland
4714,3: Queensland
4715,3: Queensland
4716,3: Queensland
4717,3: Queensland
4718,3: Queensland
4719,3: Queensland
4720,3: Queensland
4721,3: Queensland
4722,3: Queensland
4723,3: Queensland
4724,3: Queensland
4725,3: Queensland
4726,3: Queensland
4727,3: Queensland
4728,3: Queensland
4730,3: Queensland
4731,3: Queensland
4732,3: Queensland
4733,3: Queensland
4735,3: Queensland
4736,3: Queensland
4737,3: Queensland
4738,3: Queensland
4739,3: Queensland
4740,3: Queensland
4741,3: Queensland
4742,3: Queensland
4743,3: Queensland
4744,3: Queensland
4745,3: Queensland
4746,3: Queensland
4750,3: Queensland
4751,3: Queensland
4753,3: Queensland
4754,3: Queensland
4756,3: Queensland
4757,3: Queensland
4798,3: Queensland
4799,3: Queensland
4800,3: Queensland
4802,3: Queensland
4804,3: Queensland
4805,3: Queensland
4806,3: Queensland
4807,3: Queensland
4808,3: Queensland
4809,3: Queensland
4810,3: Queensland
4811,3: Queensland
4812,3: Queensland
4814,3: Queensland
4815,3: Queensland
4816,3: Queensland
4817,3: Queensland
4818,3: Queensland
4819,3: Queensland
4820,3: Queensland
4821,3: Queensland
4822,3: Queensland
4823,3: Queensland
4824,3: Queensland
4825,3: Queensland
4828,3: Queensland
4829,3: Queensland
4830,3: Queensland
4849,3: Queensland
4850,3: Queensland
4852,3: Queensland
4854,3: Queensland
4855,3: Queensland
4856,3: Queensland
4858,3: Queensland
4859,3: Queensland
4860,3: Queensland
4861,3: Queensland
4865,3: Queensland
4868,3: Queensland
4869,3: Queensland
4870,3: Queensland
4871,3: Queensland
4872,3: Queensland
4873,3: Queensland
4874,3: Queensland
4875,3: Queensland
4876,3: Queensland
4877,3: Queensland
4878,3: Queensland
4879,3: Queensland
4880,3: Queensland
4881,3: Queensland
4882,3: Queensland
4883,3: Queensland
4884,3: Queensland
4885,3: Queensland
4886,3: Queensland
4887,3: Queensland
4888,3: Queensland
4890,3: Queensland
4891,3: Queensland
4892,3: Queensland
4895,3: Queensland
5000,4: South Australia
5006,4: South Australia
5007,4: South Australia
5008,4: South Australia
5009,4: South Australia
5010,4: South Australia
5011,4: South Australia
5012,4: South Australia
5013,4: South Australia
5014,4: South Australia
5015,4: South Australia
5016,4: South Australia
5017,4: South Australia
5018,4: South Australia
5019,4: South Australia
5020,4: South Australia
5021,4: South Australia
5022,4: South Australia
5023,4: South Australia
5024,4: South Australia
5025,4: South Australia
5031,4: South Australia
5032,4: South Australia
5033,4: South Australia
5034,4: South Australia
5035,4: South Australia
5037,4: South Australia
5038,4: South Australia
5039,4: South Australia
5040,4: South Australia
5041,4: South Australia
5042,4: South Australia
5043,4: South Australia
5044,4: South Australia
5045,4: South Australia
5046,4: South Australia
5047,4: South Australia
5048,4: South Australia
5049,4: South Australia
5050,4: South Australia
5051,4: South Australia
5052,4: South Australia
5061,4: South Australia
5062,4: South Australia
5063,4: South Australia
5064,4: South Australia
5065,4: South Australia
5066,4: South Australia
5067,4: South Australia
5068,4: South Australia
5069,4: South Australia
5070,4: South Australia
5072,4: South Australia
5073,4: South Australia
5074,4: South Australia
5075,4: South Australia
5076,4: South Australia
5081,4: South Australia
5082,4: South Australia
5083,4: South Australia
5084,4: South Australia
5085,4: South Australia
5086,4: South Australia
5087,4: South Australia
5088,4: South Australia
5089,4: South Australia
5090,4: South Australia
5091,4: South Australia
5092,4: South Australia
5093,4: South Australia
5094,4: South Australia
5095,4: South Australia
5096,4: South Australia
5097,4: South Australia
5098,4: South Australia
5106,4: South Australia
5107,4: South Australia
5108,4: South Australia
5109,4: South Australia
5110,4: South Australia
5111,4: South Australia
5112,4: South Australia
5113,4: South Australia
5114,4: South Australia
5115,4: South Australia
5116,4: South Australia
5117,4: South Australia
5118,4: South Australia
5120,4: South Australia
5121,4: South Australia
5125,4: South Australia
5126,4: South Australia
5127,4: South Australia
5131,4: South Australia
5132,4: South Australia
5133,4: South Australia
5134,4: South Australia
5136,4: South Australia
5137,4: South Australia
5138,4: South Australia
5139,4: South Australia
5140,4: South Australia
5141,4: South Australia
5142,4: South Australia
5144,4: South Australia
5150,4: South Australia
5151,4: South Australia
5152,4: South Australia
5153,4: South Australia
5154,4: South Australia
5155,4: South Australia
5156,4: South Australia
5157,4: South Australia
5158,4: South Australia
5159,4: South Australia
5160,4: South Australia
5161,4: South Australia
5162,4: South Australia
5163,4: South Australia
5164,4: South Australia
5165,4: South Australia
5166,4: South Australia
5167,4: South Australia
5168,4: South Australia
5169,4: South Australia
5170,4: South Australia
5171,4: South Australia
5172,4: South Australia
5173,4: South Australia
5174,4: South Australia
5201,4: South Australia
5202,4: South Australia
5203,4: South Australia
5204,4: South Australia
5210,4: South Australia
5211,4: South Australia
5212,4: South Australia
5213,4: South Australia
5214,4: South Australia
5220,4: South Australia
5221,4: South Australia
5222,4: South Australia
5223,4: South Australia
5231,4: South Australia
5232,4: South Australia
5233,4: South Australia
5234,4: South Australia
5235,4: South Australia
5236,4: South Australia
5237,4: South Australia
5238,4: South Australia
5240,4: South Australia
5241,4: South Australia
5242,4: South Australia
5243,4: South Australia
5244,4: South Australia
5245,4: South Australia
5250,4: South Australia
5251,4: South Australia
5252,4: South Australia
5253,4: South Australia
5254,4: South Australia
5255,4: South Australia
5256,4: South Australia
5259,4: South Australia
5260,4: South Australia
5261,4: South Australia
5262,4: South Australia
5263,4: South Australia
5264,4: South Australia
5265,4: South Australia
5266,4: South Australia
5267,4: South Australia
5268,4: South Australia
5269,4: South Australia
5270,4: South Australia
5271,4: South Australia
5272,4: South Australia
5273,4: South Australia
5275,4: South Australia
5276,4: South Australia
5277,4: South Australia
5278,4: South Australia
5279,4: South Australia
5280,4: South Australia
5290,4: South Australia
5291,4: South Australia
5301,4: South Australia
5302,4: South Australia
5303,4: South Australia
5304,4: South Australia
5306,4: South Australia
5307,4: South Australia
5308,4: South Australia
5309,4: South Australia
5310,4: South Australia
5311,4: South Australia
5320,4: South Australia
5321,4: South Australia
5322,4: South Australia
5330,4: South Australia
5331,4: South Australia
5332,4: South Australia
5333,4: South Australia
5340,4: South Australia
5341,4: South Australia
5342,4: South Australia
5343,4: South Australia
5344,4: South Australia
5345,4: South Australia
5346,4: South Australia
5350,4: South Australia
5351,4: South Australia
5352,4: South Australia
5353,4: South Australia
5354,4: South Australia
5355,4: South Australia
5356,4: South Australia
5357,4: South Australia
5360,4: South Australia
5371,4: South Australia
5372,4: South Australia
5373,4: South Australia
5374,4: South Australia
5381,4: South Australia
5400,4: South Australia
5401,4: South Australia
5410,4: South Australia
5411,4: South Australia
5412,4: South Australia
5413,4: South Australia
5414,4: South Australia
5415,4: South Australia
5416,4: South Australia
5417,4: South Australia
5418,4: South Australia
5419,4: South Australia
5420,4: South Australia
5421,4: South Australia
5422,4: South Australia
5431,4: South Australia
5432,4: South Australia
5433,4: South Australia
5434,4: South Australia
5440,4: South Australia
5451,4: South Australia
5452,4: South Australia
5453,4: South Australia
5454,4: South Australia
5455,4: South Australia
5460,4: South Australia
5461,4: South Australia
5462,4: South Australia
5464,4: South Australia
5470,4: South Australia
5471,4: South Australia
5472,4: South Australia
5473,4: South Australia
5480,4: South Australia
5481,4: South Australia
5482,4: South Australia
5483,4: South Australia
5485,4: South Australia
5490,4: South Australia
5491,4: South Australia
5493,4: South Australia
5495,4: South Australia
5501,4: South Australia
5502,4: South Australia
5510,4: South Australia
5520,4: South Australia
5521,4: South Australia
5522,4: South Australia
5523,4: South Australia
5540,4: South Australia
5550,4: South Australia
5552,4: South Australia
5554,4: South Australia
5555,4: South Australia
5556,4: South Australia
5558,4: South Australia
5560,4: South Australia
5570,4: South Australia
5571,4: South Australia
5572,4: South Australia
5573,4: South Australia
5575,4: South Australia
5576,4: South Australia
5577,4: South Australia
5580,4: South Australia
5581,4: South Australia
5582,4: South Australia
5583,4: South Australia
5600,4: South Australia
5601,4: South Australia
5602,4: South Australia
5603,4: South Australia
5604,4: South Australia
5605,4: South Australia
5606,4: South Australia
5607,4: South Australia
5608,4: South Australia
5609,4: South Australia
5611,4: South Australia
5630,4: South Australia
5631,4: South Australia
5632,4: South Australia
5633,4: South Australia
5640,4: South Australia
5641,4: South Australia
5642,4: South Australia
5650,4: South Australia
5651,4: South Australia
5652,4: South Australia
5653,4: South Australia
5654,4: South Australia
5655,4: South Australia
5660,4: South Australia
5661,4: South Australia
5670,4: South Australia
5671,4: South Australia
5680,4: South Australia
5690,4: South Australia
5700,4: South Australia
5701,4: South Australia
5710,4: South Australia
5713,4: South Australia
5715,4: South Australia
5717,4: South Australia
5719,4: South Australia
5720,4: South Australia
5722,4: South Australia
5723,4: South Australia
5724,4: South Australia
5725,4: South Australia
5730,4: South Australia
5731,4: South Australia
5732,4: South Australia
5733,4: South Australia
5734,4: South Australia
5950,4: South Australia
6000,5: Western Australia
6003,5: Western Australia
6004,5: Western Australia
6005,5: Western Australia
6006,5: Western Australia
6007,5: Western Australia
6008,5: Western Australia
6009,5: Western Australia
6010,5: Western Australia
6011,5: Western Australia
6012,5: Western Australia
6014,5: Western Australia
6015,5: Western Australia
6016,5: Western Australia
6017,5: Western Australia
6018,5: Western Australia
6019,5: Western Australia
6020,5: Western Australia
6021,5: Western Australia
6022,5: Western Australia
6023,5: Western Australia
6024,5: Western Australia
6025,5: Western Australia
6026,5: Western Australia
6027,5: Western Australia
6028,5: Western Australia
6029,5: Western Australia
6030,5: Western Australia
6031,5: Western Australia
6032,5: Western Australia
6033,5: Western Australia
6034,5: Western Australia
6035,5: Western Australia
6036,5: Western Australia
6037,5: Western Australia
6038,5: Western Australia
6041,5: Western Australia
6042,5: Western Australia
6043,5: Western Australia
6044,5: Western Australia
6050,5: Western Australia
6051,5: Western Australia
6052,5: Western Australia
6053,5: Western Australia
6054,5: Western Australia
6055,5: Western Australia
6056,5: Western Australia
6057,5: Western Australia
6058,5: Western Australia
6059,5: Western Australia
6060,5: Western Australia
6061,5: Western Australia
6062,5: Western Australia
6063,5: Western Australia
6064,5: Western Australia
6065,5: Western Australia
6066,5: Western Australia
6067,5: Western Australia
6068,5: Western Australia
6069,5: Western Australia
6070,5: Western Australia
6071,5: Western Australia
6072,5: Western Australia
6073,5: Western Australia
6074,5: Western Australia
6076,5: Western Australia
6077,5: Western Australia
6078,5: Western Australia
6079,5: Western Australia
6081,5: Western Australia
6082,5: Western Australia
6083,5: Western Australia
6084,5: Western Australia
6090,5: Western Australia
6100,5: Western Australia
6101,5: Western Australia
6102,5: Western Australia
6103,5: Western Australia
6104,5: Western Australia
6105,5: Western Australia
6106,5: Western Australia
6107,5: Western Australia
6108,5: Western Australia
6109,5: Western Australia
6110,5: Western Australia
6111,5: Western Australia
6112,5: Western Australia
6121,5: Western Australia
6122,5: Western Australia
6123,5: Western Australia
6124,5: Western Australia
6125,5: Western Australia
6126,5: Western Australia
6147,5: Western Australia
6148,5: Western Australia
6149,5: Western Australia
6150,5: Western Australia
6151,5: Western Australia
6152,5: Western Australia
6153,5: Western Australia
6154,5: Western Australia
6155,5: Western Australia
6156,5: Western Australia
6157,5: Western Australia
6158,5: Western Australia
6159,5: Western Australia
6160,5: Western Australia
6161,5: Western Australia
6162,5: Western Australia
6163,5: Western Australia
6164,5: Western Australia
6165,5: Western Australia
6166,5: Western Australia
6167,5: Western Australia
6168,5: Western Australia
6169,5: Western Australia
6170,5: Western Australia
6171,5: Western Australia
6172,5: Western Australia
6173,5: Western Australia
6174,5: Western Australia
6175,5: Western Australia
6176,5: Western Australia
6180,5: Western Australia
6181,5: Western Australia
6182,5: Western Australia
6207,5: Western Australia
6208,5: Western Australia
6209,5: Western Australia
6210,5: Western Australia
6211,5: Western Australia
6213,5: Western Australia
6214,5: Western Australia
6215,5: Western Australia
6218,5: Western Australia
6219,5: Western Australia
6220,5: Western Australia
6221,5: Western Australia
6223,5: Western Australia
6224,5: Western Australia
6225,5: Western Australia
6226,5: Western Australia
6227,5: Western Australia
6228,5: Western Australia
6229,5: Western Australia
6230,5: Western Australia
6232,5: Western Australia
6233,5: Western Australia
6236,5: Western Australia
6237,5: Western Australia
6239,5: Western Australia
6240,5: Western Australia
6243,5: Western Australia
6244,5: Western Australia
6251,5: Western Australia
6252,5: Western Australia
6253,5: Western Australia
6254,5: Western Australia
6255,5: Western Australia
6256,5: Western Australia
6258,5: Western Australia
6260,5: Western Australia
6262,5: Western Australia
6271,5: Western Australia
6275,5: Western Australia
6280,5: Western Australia
6281,5: Western Australia
6282,5: Western Australia
6284,5: Western Australia
6285,5: Western Australia
6286,5: Western Australia
6288,5: Western Australia
6290,5: Western Australia
6302,5: Western Australia
6304,5: Western Australia
6306,5: Western Australia
6308,5: Western Australia
6309,5: Western Australia
6311,5: Western Australia
6312,5: Western Australia
6313,5: Western Australia
6315,5: Western Australia
6316,5: Western Australia
6317,5: Western Australia
6318,5: Western Australia
6320,5: Western Australia
6321,5: Western Australia
6322,5: Western Australia
6323,5: Western Australia
6324,5: Western Australia
6326,5: Western Australia
6327,5: Western Australia
6328,5: Western Australia
6330,5: Western Australia
6333,5: Western Australia
6335,5: Western Australia
6336,5: Western Australia
6337,5: Western Australia
6338,5: Western Australia
6341,5: Western Australia
6343,5: Western Australia
6346,5: Western Australia
6348,5: Western Australia
6350,5: Western Australia
6351,5: Western Australia
6352,5: Western Australia
6353,5: Western Australia
6355,5: Western Australia
6356,5: Western Australia
6357,5: Western Australia
6358,5: Western Australia
6359,5: Western Australia
6361,5: Western Australia
6363,5: Western Australia
6365,5: Western Australia
6367,5: Western Australia
6368,5: Western Australia
6369,5: Western Australia
6370,5: Western Australia
6372,5: Western Australia
6373,5: Western Australia
6375,5: Western Australia
6383,5: Western Australia
6384,5: Western Australia
6385,5: Western Australia
6386,5: Western Australia
6390,5: Western Australia
6391,5: Western Australia
6392,5: Western Australia
6393,5: Western Australia
6394,5: Western Australia
6395,5: Western Australia
6396,5: Western Australia
6397,5: Western Australia
6398,5: Western Australia
6401,5: Western Australia
6403,5: Western Australia
6405,5: Western Australia
6407,5: Western Australia
6409,5: Western Australia
6410,5: Western Australia
6411,5: Western Australia
6412,5: Western Australia
6413,5: Western Australia
6414,5: Western Australia
6415,5: Western Australia
6418,5: Western Australia
6419,5: Western Australia
6420,5: Western Australia
6421,5: Western Australia
6422,5: Western Australia
6423,5: Western Australia
6424,5: Western Australia
6425,5: Western Australia
6426,5: Western Australia
6427,5: Western Australia
6428,5: Western Australia
6429,5: Western Australia
6430,5: Western Australia
6431,5: Western Australia
6432,5: Western Australia
6434,5: Western Australia
6436,5: Western Australia
6437,5: Western Australia
6438,5: Western Australia
6440,5: Western Australia
6442,5: Western Australia
6443,5: Western Australia
6445,5: Western Australia
6446,5: Western Australia
6447,5: Western Australia
6448,5: Western Australia
6450,5: Western Australia
6452,5: Western Australia
6460,5: Western Australia
6461,5: Western Australia
6462,5: Western Australia
6463,5: Western Australia
6465,5: Western Australia
6466,5: Western Australia
6467,5: Western Australia
6468,5: Western Australia
6470,5: Western Australia
6472,5: Western Australia
6473,5: Western Australia
6475,5: Western Australia
6476,5: Western Australia
6477,5: Western Australia
6479,5: Western Australia
6480,5: Western Australia
6484,5: Western Australia
6485,5: Western Australia
6487,5: Western Australia
6488,5: Western Australia
6489,5: Western Australia
6490,5: Western Australia
6501,5: Western Australia
6502,5: Western Australia
6503,5: Western Australia
6504,5: Western Australia
6505,5: Western Australia
6506,5: Western Australia
6507,5: Western Australia
6509,5: Western Australia
6510,5: Western Australia
6511,5: Western Australia
6512,5: Western Australia
6513,5: Western Australia
6514,5: Western Australia
6515,5: Western Australia
6516,5: Western Australia
6517,5: Western Australia
6518,5: Western Australia
6519,5: Western Australia
6521,5: Western Australia
6522,5: Western Australia
6525,5: Western Australia
6528,5: Western Australia
6530,5: Western Australia
6532,5: Western Australia
6535,5: Western Australia
6536,5: Western Australia
6537,5: Western Australia
6556,5: Western Australia
6558,5: Western Australia
6560,5: Western Australia
6562,5: Western Australia
6564,5: Western Australia
6566,5: Western Australia
6567,5: Western Australia
6568,5: Western Australia
6569,5: Western Australia
6571,5: Western Australia
6572,5: Western Australia
6574,5: Western Australia
6575,5: Western Australia
6603,5: Western Australia
6605,5: Western Australia
6606,5: Western Australia
6608,5: Western Australia
6609,5: Western Australia
6612,5: Western Australia
6613,5: Western Australia
6614,5: Western Australia
6616,5: Western Australia
6620,5: Western Australia
6623,5: Western Australia
6625,5: Western Australia
6627,5: Western Australia
6628,5: Western Australia
6630,5: Western Australia
6631,5: Western Australia
6632,5: Western Australia
6635,5: Western Australia
6638,5: Western Australia
6639,5: Western Australia
6640,5: Western Australia
6642,5: Western Australia
6646,5: Western Australia
6701,5: Western Australia
6705,5: Western Australia
6707,5: Western Australia
6710,5: Western Australia
6712,5: Western Australia
6713,5: Western Australia
6714,5: Western Australia
6716,5: Western Australia
6718,5: Western Australia
6720,5: Western Australia
6721,5: Western Australia
6722,5: Western Australia
6725,5: Western Australia
6726,5: Western Australia
6728,5: Western Australia
6740,5: Western Australia
6743,5: Western Australia
6751,5: Western Australia
6753,5: Western Australia
6754,5: Western Australia
6758,5: Western Australia
6760,5: Western Australia
6762,5: Western Australia
6765,5: Western Australia
6770,5: Western Australia
6798,9: Other Territories
6799,9: Other Territories
7000,6: Tasmania
7004,6: Tasmania
7005,6: Tasmania
7007,6: Tasmania
7008,6: Tasmania
7009,6: Tasmania
7010,6: Tasmania
7011,6: Tasmania
7012,6: Tasmania
7015,6: Tasmania
7016,6: Tasmania
7017,6: Tasmania
7018,6: Tasmania
7019,6: Tasmania
7020,6: Tasmania
7021,6: Tasmania
7022,6: Tasmania
7023,6: Tasmania
7024,6: Tasmania
7025,6: Tasmania
7026,6: Tasmania
7027,6: Tasmania
7030,6: Tasmania
7050,6: Tasmania
7052,6: Tasmania
7053,6: Tasmania
7054,6: Tasmania
7055,6: Tasmania
7109,6: Tasmania
7112,6: Tasmania
7113,6: Tasmania
7116,6: Tasmania
7117,6: Tasmania
7119,6: Tasmania
7120,6: Tasmania
7139,6: Tasmania
7140,6: Tasmania
7150,6: Tasmania
7155,6: Tasmania
7162,6: Tasmania
7163,6: Tasmania
7170,6: Tasmania
7171,6: Tasmania
7172,6: Tasmania
7173,6: Tasmania
7174,6: Tasmania
7175,6: Tasmania
7176,6: Tasmania
7177,6: Tasmania
7178,6: Tasmania
7179,6: Tasmania
7180,6: Tasmania
7182,6: Tasmania
7183,6: Tasmania
7184,6: Tasmania
7185,6: Tasmania
7186,6: Tasmania
7187,6: Tasmania
7190,6: Tasmania
7209,6: Tasmania
7210,6: Tasmania
7211,6: Tasmania
7212,6: Tasmania
7213,6: Tasmania
7214,6: Tasmania
7215,6: Tasmania
7216,6: Tasmania
7248,6: Tasmania
7249,6: Tasmania
7250,6: Tasmania
7252,6: Tasmania
7253,6: Tasmania
7254,6: Tasmania
7255,6: Tasmania
7256,6: Tasmania
7257,6: Tasmania
7258,6: Tasmania
7259,6: Tasmania
7260,6: Tasmania
7261,6: Tasmania
7262,6: Tasmania
7263,6: Tasmania
7264,6: Tasmania
7265,6: Tasmania
7267,6: Tasmania
7268,6: Tasmania
7270,6: Tasmania
7275,6: Tasmania
7276,6: Tasmania
7277,6: Tasmania
7290,6: Tasmania
7291,6: Tasmania
7292,6: Tasmania
7300,6: Tasmania
7301,6: Tasmania
7302,6: Tasmania
7303,6: Tasmania
7304,6: Tasmania
7305,6: Tasmania
7306,6: Tasmania
7307,6: Tasmania
7310,6: Tasmania
7315,6: Tasmania
7316,6: Tasmania
7320,6: Tasmania
7321,6: Tasmania
7322,6: Tasmania
7325,6: Tasmania
7330,6: Tasmania
7331,6: Tasmania
7466,6: Tasmania
7467,6: Tasmania
7468,6: Tasmania
7469,6: Tasmania
7470,6: Tasmania
